player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Misha",Kvjues6h6A,2025-01-29T03:07:39.683Z,2025-01-29T03:21:50.181Z,1000,0,0,-1000
"matt",_zw_72cQkA,2025-01-29T02:45:54.160Z,2025-01-29T03:04:52.194Z,500,0,0,-500
"Misha",Kvjues6h6A,2025-01-29T02:41:45.293Z,2025-01-29T03:06:31.027Z,1000,0,0,-1000
"Misha",Kvjues6h6A,2025-01-29T02:38:06.419Z,2025-01-29T02:39:04.860Z,1000,1000,0,0
"bera",_yrAfxfbwq,2025-01-29T01:58:54.425Z,2025-01-29T02:01:55.805Z,500,0,0,-500
"matt",_zw_72cQkA,2025-01-29T01:54:00.144Z,2025-01-29T02:43:36.986Z,500,0,0,-500
"bera",_yrAfxfbwq,2025-01-29T01:49:51.438Z,2025-01-29T01:57:10.142Z,500,0,0,-500
"marsh",ufNoS9CWrM,2025-01-29T01:49:51.434Z,2025-01-29T03:22:13.250Z,500,5727,0,5227
"los",xNgPxNiT1J,2025-01-29T01:45:14.188Z,2025-01-29T03:21:53.806Z,500,2859,0,2359
"bera",_yrAfxfbwq,2025-01-29T01:41:43.707Z,2025-01-29T01:46:34.711Z,500,0,0,-500
"bea",_yrAfxfbwq,2025-01-29T01:22:52.039Z,2025-01-29T01:39:37.159Z,500,0,0,-500
"matt",_zw_72cQkA,2025-01-29T01:09:38.302Z,2025-01-29T01:51:52.919Z,500,0,0,-500
"Taytr",zyQ-NCXM7J,2025-01-29T01:03:07.893Z,2025-01-29T02:27:22.451Z,500,0,0,-500
"Sales",sN5xMfD2pb,2025-01-29T01:01:12.377Z,,500,,1598,1098
"bea",_yrAfxfbwq,2025-01-29T00:58:53.568Z,2025-01-29T01:20:55.006Z,500,0,0,-500
"matt",_zw_72cQkA,2025-01-29T00:54:16.123Z,2025-01-29T01:08:23.768Z,500,0,0,-500
"DeezLouiz",AkoTA5kmtN,2025-01-29T00:42:55.883Z,,500,,345,-155
"bea",_yrAfxfbwq,2025-01-29T00:38:04.343Z,2025-01-29T00:58:19.034Z,500,0,0,-500
"morice",IAVyDYDYL6,2025-01-29T00:31:16.767Z,2025-01-29T02:53:48.036Z,500,971,0,471
"Taytr",zyQ-NCXM7J,2025-01-29T00:31:16.764Z,2025-01-29T01:02:29.153Z,500,0,0,-500
"marsh",ufNoS9CWrM,2025-01-29T00:21:04.587Z,2025-01-29T01:48:47.733Z,500,0,0,-500
"los",xNgPxNiT1J,2025-01-29T00:21:04.592Z,2025-01-29T01:44:15.573Z,500,0,0,-500
